name,cost,cr,int,ins,ch,dex,ag,con,str,itemize:other_modifiers,itemize:skills,itemize:abilities,abilitycostoverride,itemize:boons,booncostoverride,itemize:banes,banecostoverride,flavor_text,Example equipment,Notes
Gambler,5,,,,,,,,,,Deception +2;Gambling +3;Interrogation +2;Sleight of Hand +2,,,Fortune's Child,,Debt (2000cr),4,"Somehow Lady Fortuna is with this one and he made his money by gambling. In many cases such players are accused of cheating, sometimes banned from their dens and other times wanted by crime families.",,
Investigator,7,,,5,,,,,,,Interrogation +2;Perception +2;Educations: ::b:: ;Law +2;Home Security +2 ::e::,Overly Cautious,,,,,,"Be it private investigators or police officials, many unsolved cases drift through any city's archive. Some investigators are interested in these old, unsolved cases, others are commited to reducing the amount of new ones.",,
Laborer,0,,,,,,,,,,Athletics +2;Bio-Maintenance +1;Navigation (Ground) +1;Restraint +2;Survival +2,,,,,,,"A lot of work can be taken over by machines. Yet sometimes a machine can't be used or is simply more expensive than a low wage laborer or a slave. This usage of human resources is not officially endorsed and even technically illegal, yet when a contract is formed (or forged...), the endeavour might be considered legitimate.",,
Mercenary,3,2,,,,,,,,,Intimidation +1;Ranged Combat Training (Pistol) +2; another Ranged Combat Training +2; any Melee Combat Training +1;Education: Demolition +2,,,one of: ::b:: \item Stoic \item Tough As Nails ::e::,15,one of: ::b:: \item Bound by duty \item Wanted II ::e::,11,"Born for fighting and fighting for pay; the core principles of mercenaries haven't changed. Loyalty belongs to the first or highest bidder and as long as the price fits, the dirty work will be taken care of.",,
Performer,5,,,,3,,,,,,Acrobatics +2;Appeal +1;Athletics +1; Performance +2;Educations: ::b:: ;Etiquette +2;Voice Athlete +2 ::e::,,,,,,,"Performers are paid to sing, dance, balance and whatever might be entertaining to watch or listen to. Payment is usually slim or depending on the circumstances as simple as continuing to live.",,
Porcupine,3,,,,,,,,,,Appeal +1;Deception +2;Craftsmanship +2;Stealth +1;Bio-Maintenance +2; Educations: ::b:: ;Chemistry +2;Trade +1 ::e::,,,,,,,"There are a lot of people dependent on drugs, be it Method addicted members of illegal fight clubs, corporate hackers working under Speed influence or young couples experimenting with Raze, someone has to make their substances. These people know how to make it and know what it does to one's body, in the short as well as long term. Whether they care is an individual question.",,
Scrapper,4,,,2,,2,,,,,Bio-Maintenance +1; Craftsmanship +2;one Melee Combat Training +2;Perception +1; Educations: ::b:: ;Mechanics +2;Trade +1 ::e::,,,,,,,"Scrappers live off of what the land gives them - trash. They are generally professionals in making use of the least likely objects, some of them are also quite good medics but don't ask them why.",,
Shark,6,2,,,2,,,,,,Deception +2;Intimidation +2;Educations: ::b:: ;Law +2;Trade +2 ::e::,,,Big Spender 2,6,,,Some people have enough money to make more money by loaning money and having it paid back at ludicrous interest rates. These people are usually versed in all forms of trade and bending the law.,,
Show Shot,3,,,,,5,,,,,Appeal +1;Ranged Combat Training (Pistol) +2; Performance +2; Reload +2,,,,,,,Pistoliers getting paid to make trick shots. Putting on a show with guns is not safe but very impressive and sought after.,,
Soldier,8,2,,,,,,2,,,Ranged Combat Training (Pistol) +2; another Ranged Combat Training +2;Restraint +2;any armed Melee Combat Training +1; one Melee Combat Training +1: ::b::\item Striking \item Grappling::e::; Educations: ::b:: ;Command +2;Demolition +2 ::e::,,,one of: ::b:: \item Stoic \item Tough As Nails ::e::,15,Belief in authority 30;Bound by duty,15,"Harsh training and incredible equipment make them a force to be reckoned with. Most are only employed to defend borders but the best of them are chosen to sabotage terrorists, either by infiltration or via an orbital drop in a strike suit.",,
Street Fighter,7,,,,,,,3,3,,Bio-Maintenance +1;One armed Melee Combat Training +1;one Melee Combat Training +2: ::b::\item Striking \item Grappling ::e::;the other +1;Restraint +2,Melee Maneuvers worth 500 XP,500,,,,,"Fight to live, live to fight. Some people are just born for combat but don't make the cut to become soldiers. They're in luck there are other ways to earn money fighting people.",,
Technician,4,,,,,4,,,,,Logic +2;Perception +1;Wirewalk +2;Educations: ::b:: ;Construction +1;Mechanics +2;Security +1 ::e::,,,,,,,"Experts in repairing circuitry, small and large. Many of them would understand mechanics as well.",,
Terrorist,2,,,,,,,,,,Appeal +1;Deception +2;one Melee Combat Training +1; one Ranged Combat Training +2;Educations: ::b:: ;Chemistry +1;Construction +1;History +1;Philosophy +1 ::e::,,,Social Chameleon,,Rebel 40,4,There are many reasons to be unhappy with the country's situation but only few take such radical measures. These people have reached the point of either complete devotion to a cause and an according enemy or of having absolutely nothing to lose anymore.,,
Trafficker,2,,,,,,,,,,Appeal +1;Commerce +2;Deception +2;Intimidation +1;Education: Surveillance +1,Broken,,,,,,"Anything can be traded, so long as you aren't caught. A particularily hot good is giving the term ""human ressources"" a new meaning. People like this are cunning, cold and the toughest tradesmen.",,
Urchin,0,,,,,,,,,,Acrobatics +1;Appeal +1;Athletics +1;Bio-Maintenance +1;Deception +1;Dodge +1;Perception +1;Restraint +1;Sleight of Hand +1;Stealth +1;Survival +1,,,,,,,A child that lost its guardians and maybe its living place very early in life needs to learn a lot of things in a short amount of time in order to survive. There is not much time for youth nor slacking off and it will understand that acting slowly is very dangerous.,,
Wastelander,3,-3,-3,,-3,,,10,,,Perception +2;Stealth +2;Survival +2,Trained sense (any two),500,,,,,"Not everyone grows up in flashing cities. Many people grow up in the far outskirts, places where barely anything grows and that are by their very existence hostile towards life, yet somehow small communities arise in them again and again. Growing up in such places takes a toll on someone and it requires quickly learning a very particular set of skills.",,
