name,flavor_text,description,
Pervasive Miasma,"Horrors and blasphemy cling to you in a pervasive miasma, an unsettling odor that exudes a repugnant sensation, a testament to the unsettling aura that surrounds you.","The character gains the Bane: Bad Smell. If he already has that, he becomes unable to hide from creatures with a sense of smell.",
Possessed Weapon,"A profound boon, among the many bestowed upon you, now tethered to an artifact of potency and individuality.","A weapon the character owns gets possessed. The entity's power is equal to a tenth of the character's Insight, minimum of 1.",
Price of Knowledge,"Whispers claim that awareness is a weapon half unsheathed. In your case, the battleground you traverse is a nightmarish conflict of staggering proportions.","Once per session, you may ask the GM a yes or no question. Once you do so, gain a truthful answer as well as D10 Insight.",
Pseudo-Horror,"Exhibiting a touch of fervor that may be deemed excessive, you stand as the earthly counterpart to a demonic presence, a manifestation of unearthly attributes.","The character gains horrific appearance, as well as the DEMONIC and VOLATILE traits. His DEMONIC strength is 1.",
Sight Beyond Sight,"Your perception extends to sights beyond articulation—ethereal entities, perhaps souls or auras, each bearing revelations that betray the essence of their origin.","The character gains -10 to visual Perception, but +10 to Interrogation.",
Slayer Limb,"Violence brings violence. In the end, it has to be this way.",A weapon the character is holding fuses with the limb he is holding it with. The weapon no longer needs maintainance nor reloading.,
Soul-Touched,Nothing is quite as unpleasant as an unsolicited touch in an intimate region. What would be more intimate than your very essence?,"The character gains a Bane representing a psychological condition, by choice of the GM.",TODO: unhappy with the flavor text
Steel-Hearted,"The fortunate bears a heart forged in the cosmic fires of the unknown, impervious to the corrosive touch of despair and resilient against the chaos that seeks to unravel mortal resolve.","The character halves all Fear penalties. If the penalty falls below 10, the character passes automatically.",
Strange Voice,"His every utterance echoes the disconcerting whispers of eldritch entities, leaving those who listen haunted by the lingering shadows of arcane secrets and the unsettling allure of the unknown.","At the beginning of a scene roll a D10: on a 1 to 5, the character gains +15 to social interaction but -15 to Intimidation tests; otherwise the values are reversed.",
Strange Walk,"Beneath your feet, the ground loses its solidity, signaling a transition to realms where stability falters. In essence, your every step becomes a prelude to departure from the familiar confines of this plane.","The character halves his MS, but is at an additional -10 to hit when moving.",
Tail,"A peculiar, otherworldly extension manifests, a feature bestowed for reasons deemed beneficial to your existence by those who ponder such arcane alterations.",The character gains a tail and the DEADLY MELEE tag when using it.,
Tentacle,"Your supplications echoed through the cosmic expanse, receiving an answer that, while not precisely in the manner you anticipated, undeniably draws you into a closer communion with the enigmatic entities that heed such calls.","A random limb of the character turns into a tentacle. He gains +10 to Grappling tests with this limb. If it was a leg, it reduces MS by 1.",
Torso Mouth,"The ravenous appetite of otherworldly forces necessitates the manifestation of a jaw beyond the realm of earthly norms—a formidable maw, expansive and lined with formidable teeth, ready to sate the hunger that transcends the boundaries of mortal understanding.",The character develops a massive mouth on his torso. He also gains the Hungry Bane or increases it by one step.,
Unblinking,"In a world teeming with sights unseen, the notion of closing your eyes, even for an instant, seems inconceivable. The curse of perpetual vigilance binds you to an existence where every moment demands unyielding attention to the ever-unfolding tapestry of the extraordinary.",The character does not blink anymore and cannot close his eyes.,
Unnatural Beauty,"Radiating an allure that defies the bounds of possibility, your beauty becomes a magnet for curious onlookers who, though captivated, remain hesitant and fearful, drawn to gaze upon a visage that transcends the limits of the natural world.","The character gains +5 to charisma-based tests, effectively improving his appearance by one category, even beyond Smoking. The character no longer gets actively approached by non-hostile characters.",
Warped Appearance,"Altered into an unsettling semblance by the cosmic unknown, your appearance has become uncanny, etching a lasting memory in the minds of all who encounter you. Concealment is not your fate; instead, you stand as an indelible testament to the strange and otherworldly forces that have left their mark upon you.",The character suffers a -20 penalty to disguise himself and is easily remembered by anyone.,
Wendigo Transformation,"Possessing a heart encased in ice and an insatiable craving for blood, you undergo a transformation into a malevolent entity driven by pure malice.","The character's body temperature sinks noticeably, to the point where a thin ice sheet collects on it. He develops a taste for human flesh and a slight distaste for augmented people.",
Winged,"Whether viewed as an angel descended from the heavens or a demon that has broken free from hell's confines, your presence stands as a heretical enigma, defying conventional notions and stirring whispers of otherworldly origins.",The character gains wings. They are not powerful enough to fly but will halve fall damage and double leap distance.,
Wreathed in Blasphemy,"Corrupted to the very essence, an undeniable aura emanates from you, a telltale scent that hints at the profound alteration etched deep within your being.","The character gains +15 to interaction tests with Cultists, but a -15 for anyone else.",
