caliber,type,effect,price,unitofsale,weight,per,availability
6.3mm,Shield Breaker,"-3 dmg, Disrupt",38,5,8.6g,30,2
11.8x112mm,FMJ,-,4,10,50g,5,4
11.8x112mm,AP,"-1 dmg, +4 AP",8,10,50g,5,4
11.8x112mm,Hot Load,"+1 dmg, +4 AP, +15 on hearing checks to identify the shooter's position",24,10,50g,5,3
11.8x112mm,Hot AP,"+10 AP, +15 on hearing checks to identify the shooter's position",32,10,50g,5,3
11.8x112mm,JSP,"+2 dmg, -3 AP",8,10,50g,5,4
11.8x112mm,JHP,"+4 dmg, -6 AP",16,10,50g,5,3
11.8x112mm,Cold Load,"-3 dmg, -3 AP, -15 on hearing checks to identify the shooter's position",8,10,50g,5,3
11.8x112mm,Cold AP,"-4 dmg, -15 on hearing checks to identify the shooter's position",10,10,50g,5,2
11.8x112mm,Cold JSP,"-6 AP, -15 on hearing checks to identify the shooter's position",8,10,50g,5,2
11.8x112mm,Cold JHP,"+2 dmg, -8 AP, -15 on hearing checks to identify the shooter's position",14,10,50g,5,2
11.8x112mm,Incendiary,"-2 AP, will ignite flammable materials hit",16,10,50g,5,3
11.8x112mm,Rubber Rounds,"-10 dmg, 0 AP, Stun (2), every hit against the target's head reduces it's initiative by D5-1",4,10,50g,5,4
11.8x112mm,Shock,"-4 dmg, -5 AP, Stun (4), EMP",50,1,50g,5,1
11.8x112mm,Tracer,grants a +10 bonus to hit for others shooting at the same target during this turn,4,5,50g,5,4
11.8x112mm,Shield Breaker,"-3 dmg, Disrupt",38,1,50g,5,1
15x132mm,FMJ,-,8,5,85g,4,4
15x132mm,AP,"-1 dmg, +4 AP",16,5,85g,4,3
15x132mm,Hot Load,"+1 dmg, +4 AP, +15 on hearing checks to identify the shooter's position",48,5,85g,4,2
15x132mm,Hot AP,"+10 AP, +15 on hearing checks to identify the shooter's position",64,5,85g,4,2
15x132mm,JSP,"+2 dmg, -3 AP",16,5,85g,4,3
15x132mm,JHP,"+4 dmg, -6 AP",32,5,85g,4,2
15x132mm,Incendiary,"-2 AP, will ignite flammable materials hit",32,5,85g,4,2
15x132mm,Rubber Rounds,"-10 dmg, 0 AP, Stun (4), every hit against the target's head reduces it's initiative by D10",8,5,85g,4,0
15x132mm,Shock,"-4 dmg, -5 AP, Stun (4), EMP",80,1,85g,4,1
15x132mm,Tracer,grants a +10 bonus to hit for others shooting at the same target during this turn,8,5,85g,4,3
12gauge,Buckshot,-,2,10,42g,8,5
12gauge,Birdshot,"halves damage, ignores all negative size modifiers",2,10,42g,8,5
12gauge,Incendiary,"-2 dmg, -4 AP, ignites flammable materials hit",4,10,42g,8,4
12gauge,Breaching Round,"+3 dmg, +4 AP, halved range",5,10,42g,8,3
12gauge,Slug,"+2 AP, removes Scatter, doubles range",2,10,42g,8,5
12gauge,Fragmentation Slug,"removes Scatter but adds Blast (2) rule, doubles range",8,10,42g,8,2
12gauge,Incendiary Slug,"+1 AP, removes Scatter, doubles range, ignites flammable objects hit",4,10,42g,8,3
12gauge,EMP Slug,"-2 dmg, EMP, removes Scatter, doubles range",12,1,42g,8,1
12gauge,Rubber Slug,"-2 dmg, -6 AP, removes Scatter, doubles range, Stun (2)",2,10,42g,8,5
Small Fuel Tanks,Napalm,ignites flammable surfaces and sticks even to non-flammable ones,32,1,10kg,,3
Small Fuel Tanks,White Phosphorus,"halves range, burns for a D5 minutes, ignites flammable surfaces and sticks even to non-flammable ones, cannot be extinguished by water",64,1,20kg,,2
Small Fuel Tanks,Water,"1 dmg, 0 AP, Trauma, Stun (*the original amount of damage dice)",8,1,13kg,,5
Small Fuel Tanks,Liquid Helium,"halves range, causes D5 exhaustion per hit",64,1,13kg,,2
Medium Fuel Tanks,Napalm,ignites flammable surfaces,61,1,20kg,,3
Medium Fuel Tanks,White Phosphorus,"halves range, burns for a D5 minutes, ignites flammable surfaces and sticks even to non-flammable ones",122,1,40kg,,2
Medium Fuel Tanks,Water,"1 dmg, 0 AP, Trauma, Stun (*the original amount of damage dice)",17,1,25kg,,5
Medium Fuel Tanks,Liquid Helium,"halves range, causes D5 exhaustion per hit",122,1,25kg,,2
Large Fuel Tanks,Napalm,ignites flammable surfaces,150,1,50kg,,3
Large Fuel Tanks,White Phosphorus,"halves range, burns for a D5 minutes, ignites flammable surfaces and sticks even to non-flammable ones",300,1,100kg,,1
Large Fuel Tanks,Water,"1 dmg, 0 AP, Trauma, Stun (*the original amount of damage dice)",32,1,62.5kg,,4
Large Fuel Tanks,Liquid Helium,"halves range, causes D10 exhaustion per hit",300,1,62.5kg,,1
Small Fuel Cells,Standard Issue,-,5,1,250g,2,5
Small Fuel Cells,Unstable,On a hit roll above 95 causes the weapon's damage with Blast (1) centered on the shooter.,2,1,250g,2,6
Medium Fuel Cells,Standard Issue,-,8,1,750g,,4
Medium Fuel Cells,Unstable,On a hit roll above 95 causes the weapon's damage with Blast (1) centered on the shooter.,4,1,750g,,5
Large Fuel Cells,Standard Issue,-,16,1,1.5kg,0.5,4
Large Fuel Cells,Unstable,On a hit roll above 95 causes the weapon's damage with Blast (1) centered on the shooter.,11,1,1.5kg,0.5,4
Small Shard Blocks,Standard Issue,-,2,1,300g,1,5
Small Shard Blocks,Crude,"-50% mag size, jams on 91 and above",3,5,300g,1,6
Large Shard Blocks,Standard Issue,-,4,1,1.8kg,0.5,4
Large Shard Blocks,Crude,"-50% mag size, jams on 91 and above",6,5,1.8kg,0.5,4
Large Shard Blocks,Osmium Alloy,"+D5 damage, -2 AP",10,1,3.6kg,0.5,3
Vehicle Shard Blocks,Standard Issue,-,12,1,3.2kg,0.2,2
Vehicle Shard Blocks,Crude,"-50% mag size, jams on 91 and above",15,2,3.2kg,0.2,3
Vehicle Shard Blocks,Osmium Alloy,"+D10 damage, -2 AP",35,1,6.2kg,0.5,1
20mm grenades,Fragmentation,2D10+2 | 2 AP | Blast (6),20,1,120g,0.5,3
20mm grenades,High Explosive,2D10+6 | 5 AP | Blast (2),20,1,120g,0.5,3
20mm grenades,Thermobaric,"3D10 | 2 AP | Blast (10) | heat-based, ignores all cover and non-vacuum-sealed or natural armor",100,1,120g,0.5,1
20mm grenades,Incendiary,D10+2 | 0 AP | Blast (8) | ignites all flammable objects in the radius,20,1,120g,0.5,2
20mm grenades,Buckshot Canister,2D10+3 | 5 AP | Scatter,15,1,120g,0.5,3
20mm grenades,Slug,2D5+8 | 8 AP,15,1,120g,0.5,3
20mm grenades,Smoke,"0 | 0 AP | Blast (8), Smoke",10,1,120g,0.5,4
20mm grenades,Flashbang,"0 | 0 AP | Blast (12), Flash",15,1,120g,0.5,3
20mm grenades,EMP,"0 | 0 AP | Blast (4), EMP",180,1,120g,0.5,1
20mm grenades,Tear Gas,"0 | 0 AP | Blast (6), Smoke, Stun (0), ignores cover and non-vacuum-sealed armor, Stun is applied every round in the Smoke",20,1,120g,0.5,3
20mm grenades,Rubber Slug,"1D10+3 | 2 AP | Stun (5), hits to the head cause 2D5 initiative loss",15,1,120g,0.5,4
20mm grenades,Riot Foam,"0 | 0 AP | Blast (12), Sticky",20,1,120g,0.5,4
20mm grenades,Signal Smoke,0 | 0 AP | Blast (4) | a smoke spewer to signal allies; comes in various colors,10,1,120g,0.5,5
20mm grenades,Parachute Flare,D5 | 0 AP | a signal flare that burns for 3 minutes and falls at 1 meter per 3 seconds (or 1 round),15,1,120g,0.5,5
20mm grenades,Infrared Illuminator,1 | 0 AP | a large chemlight that emits infrared light in a very large area,15,1,120g,0.5,4
40mm grenades,Fragmentation,2D10+7 | 2 AP | Blast (9),40,1,230g,1,3
40mm grenades,High Explosive,3D10+6 | 5 AP | Blast (3),40,1,230g,1,3
40mm grenades,Thermobaric,"4D10 | 2 AP | Blast (15) | heat-based, ignores all cover and non-vacuum-sealed armor",200,1,230g,1,1
40mm grenades,Incendiary,D10+3 | 0 AP | Blast (12) | ignites all flammable objects in the radius,40,1,230g,1,2
40mm grenades,Buckshot Canister,3D10+3 | 5 AP | Scatter,30,1,230g,1,3
40mm grenades,Slug,2D10+9 | 9 AP,30,1,230g,1,3
40mm grenades,Smoke,"0 | 0 AP | Blast (12), Smoke",20,1,230g,1,4
40mm grenades,Flashbang,"0 | 0 AP | Blast (18), Flash",30,1,230g,1,3
40mm grenades,EMP,"0 | 0 AP | Blast (9), EMP",360,1,230g,1,1
40mm grenades,Tear Gas,"0 | 0 AP | Blast (8), Smoke, Stun (0), ignores cover and non-vacuum-sealed armor, Stun is applied every round in the Smoke",40,1,230g,1,3
40mm grenades,Rubber Slug,"2D10+3 | 2 AP | Stun (7), hits to the head cause 2D10 initiative loss",30,1,230g,1,4
40mm grenades,Signal Smoke,0 | 0 AP | Blast (4) | a smoke spewer to signal allies that lasts for a few minutes; comes in various colors,20,1,230g,1,4
40mm grenades,Parachute Flare,D5+1 | 0 AP | a signal flare that burns for 5 minutes and falls at 1 meter per 3 seconds (or 1 round),30,1,230g,1,4
40mm grenades,Thermite,"6D10+10 | 25 AP | Blast (3) | takes two rounds to get going, then burns for one minute dealing its damage every round; sticks to rough surfaces",360,1,230g,1,2
Micro Missiles,Fragmentation,Blast (2),80,4,1kg,0.5,3
Micro Missiles,High Explosive,-1D10 dmg | +8 AP,80,4,1kg,0.5,3
Micro Missiles,Incendiary,"-3 dmg | -3 AP | Blast (1), ignites flammable objects",80,4,1kg,0.5,2
Small Rockets,HEAT,4D10+5 dmg | 6 AP | Blast (3),80,1,2kg,0.5,3
Small Rockets,High Explosive,4D10+2 dmg | 3 AP | Blast (6),80,1,2kg,0.5,3
Small Rockets,Fragmentation,3D10+8 dmg | 2 AP | Blast (8),80,1,2kg,0.5,3
Small Rockets,Incendiary,2D10+5 dmg | 2 AP | Blast (6) | ignites flammable objects,110,1,2kg,0.5,2
Small Rockets,Incendiary Fragmentation,3D10+5 dmg | 2 AP | Blast (8) | ignites flammable objects,170,1,2kg,0.5,2
Small Rockets,Thermobaric,"4D10+8 dmg | 3 AP | Blast (12) | heat-based, ignores all cover and non-vacuum-sealed armor",400,1,2kg,0.5,1
Small Rockets,Thermite,"6D10+10 | 25 AP | Blast (4) | takes two rounds to get going, then burns for one minute dealing its damage every round; sticks to rough surfaces",400,1,2kg,0.5,1
Small Rockets,Kinetic Penetrator,4D10+5 dmg | 14 AP,110,1,2kg,0.5,3
Large Rockets,HEAT,4D10+6 dmg | 8 AP | Blast (6),120,1,3.5kg,0.25,3
Large Rockets,High Explosive,4D10+4 dmg | 5 AP | Blast (8),120,1,3.5kg,0.25,3
Large Rockets,Fragmentation,3D10+11 dmg | 3 AP | Blast (10),120,1,3.5kg,0.25,3
Large Rockets,Incendiary,2D10+8 dmg | 2 AP | Blast (8) | ignites flammable objects,180,1,3.5kg,0.25,2
Large Rockets,Incendiary Fragmentation,3D10+8 dmg | 3 AP | Blast (10) | ignites flammable objects,260,1,3.5kg,0.25,2
Large Rockets,Thermobaric,"5D10+10 dmg | 5 AP | Blast (18) | heat-based, ignores all cover and non-vacuum-sealed armor",600,1,3.5kg,0.25,1
Large Rockets,Thermite,"6D10+10 | 25 AP | Blast (6) | takes two rounds to get going, then burns for one minute dealing its damage every round; sticks to rough surfaces",600,1,3.5kg,0.25,1
Large Rockets,Kinetic Penetrator,4D10+8 dmg | 18 AP,180,1,3.5kg,0.25,3
Arrow / Bolt,Broadhead,-,1,20,30g,10,5
Arrow / Bolt,AP,"-1 dmg, +3 AP",1,20,30g,10,4
Arrow / Bolt,Shield Breaker,"-1 dmg, Disrupt",25,3,30g,10,2
Arrow / Bolt,Syringer,"-3 dmg, +1 AP, contains an empty vial to be filled with poisons or other injections that are released into a biological target when hit",15,3,30g,10,3
Arrow / Bolt,Grapple,"-4 dmg, 0 AP, half range; the mechanized grapple attaches to a rope and holds on most surfaces, except e.g. very sturdy metals or fragile materials like glass",15,3,30g,10,3
