name,effect,price,slots,powered,weight
Jump Pack,"A backpack-like armor attachment containing boosters to increase jump height, leap length, allow some amount of control in the air or stop hitting the floor at a violently rapid pace. Requires Pilot (Jetpack) to steer.\\ Height: increases the jump height by a factor of 3, reduced by 0.5 for every full 100 kg the wearer weighs, becoming useless at 400kg\\ Control: can decrease fall damage by 4 dice, reduced by 1 for every full 100 kg the wearer weighs, becoming useless at 400kg\\ Ground Slam: doubles fall damage but enables a Charge with a speed of 10 times meters fallen and Blast (1)",82,2,N,32 kg
Medic Container,"Fits one pack of wound sealant foam or wound dressing, a field surgery or stitch kit, 5 doses of any medicine and a thermal blanket. Any equipment stored here can be drawn as a free action.",21,1,N,1.2 kg
Medical HUD,"When a patient has an accessible vital monitor, this device gives much more detailed information, thereby improving medical tests by +20.",36,2,N,0.8 kg
Nanomesh Undersuit,The minimum armor the wearer can be reduced to (by e.g. maneuvers) is 8 in any location that is covered by the modded piece of armor.,43,0,N,2.3 kg
Night Vision,A night vision device included in the helmet.,14,1,N,0.7 kg
Odysseus Nav System,"A display that includes many forms of navigation systems, granting a +10 to driving and +20 to navigation tests.",28,1,N,1.3 kg
Oversized Mag Holster,Hooks to hold a taped or drum mag,16,1,N,0.2 kg
Photo-Reactive Panels,"While powered, the armor will automatically match the surroundings. This grants the same benefits as the \emph{Ghillie} armor mod. ",55,0,Y,0.8 kg
Piezoelectric Exo-Frame,"Carries the armor's weight.\\ When struck by an EMP, it grants a -20 penalty to all physical actions taken and deals D10+6 damage ignoring armor to all the wearer's locations every round.",190,2,Y,18 kg
Power Pack,Adds a generator to non-powered armor to accommodate armor mods requiring power.,45,2,N,14 kg
Radar,A small radar device detecting moving objects in the vicinity. Detecting someone sneaking around is at a +40 bonus. Has a range of 40m.,78,2,N,11 kg
Servo Exo-Frame,"A replacement for the more prevalent piezoelectric exo-frame. It is less potent, carrying only 3/4 of the armor's weight but won't harm the wearer in case of an EMP and instead just shut off.",8,0,Y,18 kg
Spring Charge (arm),Increases Strength for quick tasks like punching or throwing by 20.,54,1,Y,1.2 kg
Spring Charge (leg),Increases Strength for quick tasks like jumping or kicking by 20.,58,1,Y,1.5 kg
Temperature Regulators,"Tries to keep the armor's internals at around room temperature, preventing heat stroke and hypothermia in all but the harsh wastelands. ",24,1,N,0.8 kg
TROPHY ADS,"The TROPHY Active Defense System shoots projectiles out of the air that travel at least 5m/s, are between 2cm and 10cm across and within 10m of the wearer. Explosives are usually just destroyed while incendiaries still spill. Holds 6 cartridges of 11.8x45mm ammo and takes a minute to refill.",54,4,N,2.1 kg
Up-Armor,Additional armor plates that increase the location's armor by 1.,22,1,N,2 kg
Vacuum Seal,"Seals the armor to prevent any gas leaking, like air flowing outside or hydrogen cyanide inside.",32,0,N,1.1 kg
Vital Monitor,Tracks the wearer's vital data. A abbreviation can be made accessible over network.,8,0,N,1.6 kg
